Agent,Arrival time,Answer time,Completion time,Release type,Time in queue,Service time,No of Agents,Queue + Service times
1,10:50:29 AM,10:50:52 AM,10:52:17 AM,N,0:00:23,0:01:25,6,0:01:48
9,10:52:42 AM,10:53:15 AM,10:53:15 AM,V,0:00:33,0:00:00,6,0:00:33
4,10:53:15 AM,10:53:51 AM,10:55:17 AM,N,0:00:36,0:01:26,6,0:02:02
10,10:55:10 AM,10:55:15 AM,10:55:15 AM,Q,0:00:05,0:00:00,5,0:00:05
10,10:55:28 AM,10:55:52 AM,10:55:52 AM,V,0:00:24,0:00:00,6,0:00:24
8,10:55:52 AM,10:56:06 AM,11:00:36 AM,N,0:00:14,0:04:30,6,0:04:44
10,10:56:07 AM,10:57:31 AM,10:57:31 AM,V,0:01:24,0:00:00,5,0:01:24
10,10:56:44 AM,10:57:28 AM,10:57:28 AM,V,0:00:44,0:00:00,4,0:00:44
5,10:57:28 AM,10:57:43 AM,10:59:05 AM,N,0:00:15,0:01:22,4,0:01:37
7,10:57:31 AM,10:57:46 AM,10:58:42 AM,N,0:00:15,0:00:56,4,0:01:11
10,10:57:56 AM,10:58:29 AM,10:58:29 AM,V,0:00:33,0:00:00,4,0:00:33
5,10:58:29 AM,10:59:58 AM,11:03:02 AM,N,0:01:29,0:03:04,3,0:04:33
10,11:01:08 AM,11:01:39 AM,11:01:39 AM,V,0:00:31,0:00:00,4,0:00:31
1,11:01:39 AM,11:01:58 AM,11:05:40 AM,N,0:00:19,0:03:42,4,0:04:01
10,11:04:07 AM,11:04:59 AM,11:04:59 AM,V,0:00:52,0:00:00,4,0:00:52
7,11:04:59 AM,11:05:57 AM,11:12:48 AM,N,0:00:58,0:06:51,4,0:07:49
10,11:07:09 AM,11:07:42 AM,11:07:42 AM,V,0:00:33,0:00:00,5,0:00:33
8,11:07:42 AM,11:07:58 AM,11:09:18 AM,N,0:00:16,0:01:20,4,0:01:36
10,11:08:16 AM,11:08:51 AM,11:08:51 AM,V,0:00:35,0:00:00,5,0:00:35
1,11:08:51 AM,11:09:24 AM,11:15:23 AM,N,0:00:33,0:05:59,5,0:06:32
10,11:08:57 AM,11:09:03 AM,11:09:03 AM,V,0:00:06,0:00:00,6,0:00:06
6,11:09:03 AM,11:09:18 AM,11:09:19 AM,N,0:00:15,0:00:01,5,0:00:16
10,11:09:41 AM,11:09:51 AM,11:09:51 AM,V,0:00:10,0:00:00,5,0:00:10
4,11:09:51 AM,11:10:14 AM,11:11:22 AM,N,0:00:23,0:01:08,5,0:01:31
10,11:15:54 AM,11:16:51 AM,11:16:51 AM,V,0:00:57,0:00:00,5,0:00:57
